date,white_balls,yellow_ball,megaplier
2/2/2010,6|7|26|27|49,9,4X
2/5/2010,10|20|45|51|53,1,4X
2/9/2010,2|17|20|26|48,2,4X
2/12/2010,14|16|17|33|47,3,4X
2/16/2010,11|12|21|29|45,5,3X
2/19/2010,1|22|39|42|46,6,4X
2/23/2010,4|16|36|40|53,8,4X
2/26/2010,4|14|29|54|56,0,3X
3/2/2010,9|12|47|48|56,5,3X
3/5/2010,11|31|34|44|52,2,4X
3/9/2010,14|16|18|19|29,6,2X
3/12/2010,2|15|25|48|53,1,3X
3/16/2010,3|22|48|52|56,3,4X
3/19/2010,10|31|45|50|54,5,4X
3/23/2010,3|25|28|29|40,3,4X
3/26/2010,23|41|46|47|52,2,4X
3/30/2010,1|11|24|38|44,1,3X
4/2/2010,2|17|22|30|31,9,4X
4/6/2010,16|43|44|52|56,6,4X
4/9/2010,15|18|39|48|53,3,4X
4/13/2010,3|12|27|39|47,2,4X
4/16/2010,10|16|31|48|50,4,3X
4/20/2010,5|8|10|34|42,5,4X
4/23/2010,19|26|28|37|52,8,4X
4/27/2010,23|37|41|50|55,6,2X
4/30/2010,14|20|41|47|53,0,4X
5/4/2010,9|21|31|36|43,8,3X
5/7/2010,2|7|20|34|50,0,3X
5/11/2010,26|33|43|46|54,9,4X
5/14/2010,20|21|40|47|56,2,4X
5/18/2010,11|13|19|37|40,6,4X
5/21/2010,15|20|23|26|30,7,3X
5/25/2010,5|14|17|19|24,5,4X
5/28/2010,3|11|20|29|39,6,4X
6/1/2010,12|27|44|45|51,0,2X
6/4/2010,12|13|15|17|50,3,4X
6/8/2010,12|18|28|48|54,6,3X
6/11/2010,6|13|33|34|42,5,3X
6/15/2010,4|12|13|21|27,6,4X
6/18/2010,11|36|37|41|55,7,4X
6/22/2010,12|17|21|23|30,4,4X
6/25/2010,1|2|13|19|27,1,4X
6/29/2010,3|4|15|27|37,5,3X
7/2/2010,1|10|12|32|36,5,4X
7/6/2010,8|18|45|47|50,6,2X
7/9/2010,1|31|33|34|50,1,4X
7/13/2010,7|11|14|15|34,4,3X
7/16/2010,2|15|18|20|39,4,3X
7/20/2010,12|18|28|36|43,9,3X
7/23/2010,16|19|39|44|49,6,2X
7/27/2010,2|7|10|16|29,8,4X
7/30/2010,11|30|40|48|52,2,4X
8/3/2010,4|13|20|22|56,2,2X
8/6/2010,7|13|30|33|54,0,3X
8/10/2010,2|14|26|50|56,2,2X
8/13/2010,6|17|24|43|55,6,4X
8/17/2010,11|19|40|43|44,3,4X
8/20/2010,4|13|20|29|48,6,4X
8/24/2010,4|23|24|28|32,1,3X
8/27/2010,4|10|26|32|41,1,4X
8/31/2010,10|20|29|47|48,8,3X
9/3/2010,10|13|20|28|36,9,4X
9/7/2010,8|18|22|24|38,3,4X
9/10/2010,11|12|17|21|23,0,3X
9/14/2010,6|14|50|55|56,1,4X
9/17/2010,3|4|14|18|27,3,3X
9/21/2010,3|20|43|47|52,6,4X
9/24/2010,2|28|38|42|55,5,4X
9/28/2010,2|10|13|36|38,8,3X
10/1/2010,3|8|21|28|52,3,4X
10/5/2010,10|19|24|37|44,7,4X
10/8/2010,24|29|37|48|50,9,4X
10/12/2010,10|31|36|37|43,5,4X
10/15/2010,9|10|13|31|50,0,4X
10/19/2010,2|9|14|37|42,1,4X
10/22/2010,2|7|18|32|53,8,4X
10/26/2010,15|21|30|31|32,6,4X
10/29/2010,4|19|26|28|39,4,4X
11/2/2010,1|3|12|16|54,6,2X
11/5/2010,19|25|34|46|53,5,4X
11/9/2010,8|26|28|33|53,1,4X
11/12/2010,9|26|28|35|38,0,4X
11/16/2010,1|26|27|39|46,1,3X
11/19/2010,7|14|31|51|54,5,2X
11/23/2010,2|6|12|34|35,3,4X
11/26/2010,5|9|34|43|47,8,2X
11/30/2010,11|16|19|47|53,2,4X
12/3/2010,6|11|12|18|56,2,3X
12/7/2010,4|38|45|53|54,9,4X
12/10/2010,23|27|33|44|46,6,4X
12/14/2010,18|22|25|31|38,9,3X
12/17/2010,11|20|26|46|53,2,4X
12/21/2010,8|11|12|31|32,9,4X
12/24/2010,15|16|27|40|52,6,4X
12/28/2010,6|18|36|40|49,7,4X
12/31/2010,10|12|13|35|56,9,4X
1/4/2011,4|8|15|25|47,2,4X
1/7/2011,4|22|42|46|53,0,2X
1/11/2011,1|4|11|16|45,7,4X
1/14/2011,2|15|17|33|35,8,2X
1/18/2011,4|27|29|38|45,5,4X
1/21/2011,5|9|21|35|38,0,4X
1/25/2011,5|8|31|46|50,4,4X
1/28/2011,14|33|48|49|50,8,4X
2/1/2011,16|22|23|26|35,1,4X
2/4/2011,6|20|29|48|55,6,4X
2/8/2011,25|35|36|47|48,8,2X
2/11/2011,8|9|17|32|34,3,2X
2/15/2011,17|18|24|35|39,8,4X
2/18/2011,5|6|7|30|45,2,3X
2/22/2011,15|22|23|48|55,1,4X
2/25/2011,4|5|17|19|50,7,4X
3/1/2011,1|12|19|20|47,5,3X
3/4/2011,8|10|15|23|41,7,4X
3/8/2011,3|17|19|41|55,4,4X
3/11/2011,14|19|21|42|45,6,2X
3/15/2011,10|11|12|28|43,5,4X
3/18/2011,14|33|34|54|56,7,4X
3/22/2011,1|14|35|50|53,3,4X
3/25/2011,22|24|31|52|54,4,4X
3/29/2011,6|15|23|34|38,3,4X
4/1/2011,13|14|35|36|53,9,3X
4/5/2011,1|19|20|31|36,9,2X
4/8/2011,6|40|45|50|56,1,3X
4/12/2011,10|23|39|41|45,5,2X
4/15/2011,22|23|33|39|48,9,3X
4/19/2011,20|24|32|45|51,3,4X
4/22/2011,3|18|46|51|53,7,3X
4/26/2011,19|29|32|38|55,5,3X
4/29/2011,9|10|11|33|51,9,4X
5/3/2011,1|16|29|36|50,6,2X
5/6/2011,6|18|26|37|41,9,3X
5/10/2011,11|16|34|40|51,4,4X
5/13/2011,3|33|39|47|53,9,4X
5/17/2011,1|2|17|25|48,5,4X
5/20/2011,10|17|19|45|48,0,4X
5/24/2011,9|12|21|42|43,2,3X
